Unnamed: 0,Unnamed: 1,연월
,,202510
행 레이블,합계 : 금액(현지 통화),202510
Discovery,3751672850,202510
Duvetica,846626914,202510
MLB,3774974024,202510
VMD/ 매장보수대,29134613,202510
VMD/ 매장보수대,29134613,202510
소모품비_VMD소모품,6130287,202510
지급수수료_매장보수대,23004326,202510
광고선전비,897883567,202510
광고선전비,897883567,202510
(E-BIZ)광고선전비_매체광고,23873788,202510
(E-BIZ)광고선전비_촬영/기타,80899356,202510
광고선전비_PR/홍보,7000000,202510
광고선전비_기타,8251170,202510
광고선전비_매체집행_온라인,526355161,202510
광고선전비_모델료,127747253,202510
광고선전비_이벤트/행사,11867295,202510
광고선전비_콘텐츠제작,48872721,202510
광고선전비_협찬/제휴,63016823,202510
기타영업비,443560458,202510
감가상각비(매장외),144738437,202510
감가상각비_일반,118488995,202510
무형자산상각비,26249442,202510
기타비용,67870522,202510
보험료,1708098,202510
소모품비_MRO(사무용품),3793775,202510
소모품비_MRO(전산소모품),1959138,202510
소모품비_OPP,7536000,202510
소모품비_기타,4172800,202510
소모품비_사무용가구,141900,202510
소모품비_사무용품,100909,202510
소모품비_전산소모품,10903894,202510
수도광열비,10049289,202510
접대비,700000,202510
지급임차료_기타,16116577,202510
통신비_기타,13000,202510
통신비_비즈크로샷,9590055,202510
통신비_우편료,156040,202510
통신비_전화사용료,775963,202510
통신비_해외로밍,153084,202510
복리비/차량/핸드폰,52186263,202510
복리후생비_MRO,3820596,202510
복리후생비_경조사비,360000,202510
복리후생비_근속지원,-600000,202510
복리후생비_기타,505881,202510
복리후생비_부서,4220862,202510
복리후생비_식대,25902434,202510
차량유지비,12409200,202510
통신비_휴대폰지원,5567290,202510
수선비,2043000,202510
수선비_기타,2043000,202510
여비교통비,12217434,202510
여비교통비_국내출장비,584183,202510
여비교통비_시내교통비,3225940,202510
여비교통비_해외출장비,8407311,202510
저장품사용(쇼핑백/사은품),164504802,202510
소모품비_마네킨사용외,35808348,202510
소모품비_사은품사용,43554520,202510
소모품비_쇼핑백사용,7983100,202510
소모품비_쇼핑백사용(조정값),42225956,202510
소모품비_유니폼사용,11851564,202510
소모품비_유니폼사용_재고대체,23081314,202510
샘플대(제작/구입),68016255,202510
샘플대(제작/구입),68016255,202510
샘플구입대,7866305,202510
소모품비_샘플대,60149950,202510
인건비,1843020112,202510
인건비,1843020112,202510
급료와 임금,1642096476,202510
복리후생비_의료/건강,51140442,202510
세금과공과_국민연금,30619710,202510
잡급,19457585,202510
퇴직급여,99705899,202510
자가임차료(사옥),280068000,202510
자가임차료(사옥),280068000,202510
자가임차료,280068000,202510
지급수수료,213291019,202510
지급수수료,207085952,202510
지급수수료_IT사용료,9867636,202510
지급수수료_건물유지보수비,750000,202510
지급수수료_공사비,85984000,202510
지급수수료_기타,99339681,202510
지급수수료_리스료(차량),3959999,202510
지급수수료_리스료(차량제외),1643556,202510
지급수수료_보안,3109800,202510
지급수수료_퀵서비스,2431280,202510
지급수수료_기타,6205067,202510
지급수수료_물류운송비,6205067,202510
MLB KIDS,1011787832,202510
SERGIO TACCHINI,659135288,202510
총합계,10044196908,202510
